,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
leaf_10.JPG,0.00078810,0.00077993,0.00077620,0.00078161,0.00079325,0.00080689,0.00081510,0.00082030,0.00081642,0.00081127,0.00079896,0.00078498,0.00076042,0.00072870,0.00069010,0.00065314,0.00061695,0.00058088,0.00054446,0.00050794,0.00047410,0.00045468,0.00045004,0.00045709,0.00047850,0.00050470,0.00053530,0.00056421,0.00059141,0.00061688,0.00063796,0.00066016,0.00068249,0.00070177,0.00071969,0.00073408,0.00074536,0.00075404,0.00076274,0.00077173,0.00077963,0.00078769,0.00079556,0.00080012,0.00079810,0.00079479,0.00079008,0.00078684,0.00078209,0.00077879,0.00077391,0.00077354,0.00077466,0.00077727,0.00077827,0.00078073,0.00077856,0.00077790,0.00076978,0.00074396,0.00071604,0.00068898,0.00066641,0.00065535,0.00065390,0.00065864,0.00066296,0.00066010,0.00064961,0.00063693,0.00063095,0.00063676,0.00064967,0.00066812,0.00068841,0.00071037,0.00073281,0.00075598,0.00078090,0.00080806,0.00083643,0.00086545,0.00089230,0.00089876,0.00087282,0.00083869,0.00080527,0.00077308,0.00074231,0.00071364,0.00069010,0.00067476,0.00065881,0.00064260,0.00063203,0.00063224,0.00063399,0.00062756,0.00061768,0.00060831,0.00059912,0.00059476,0.00059308,0.00059678,0.00060894,0.00062817,0.00064914,0.00066987,0.00069299,0.00072171,0.00074267,0.00075614,0.00076194,0.00076923,0.00077186,0.00077595,0.00077544,0.00077945,0.00078195,0.00078594,0.00079140,0.00079548,0.00080107,0.00080544,0.00080347,0.00080094,0.00079570,0.00078840
leaf_11.JPG,0.00143764,0.00144864,0.00139935,0.00133334,0.00126843,0.00120980,0.00115666,0.00113806,0.00116098,0.00121601,0.00130067,0.00138630,0.00138796,0.00134181,0.00127643,0.00122130,0.00115293,0.00108587,0.00101217,0.00094826,0.00087782,0.00082227,0.00078673,0.00076704,0.00076486,0.00078123,0.00081630,0.00088057,0.00096187,0.00104571,0.00112392,0.00118457,0.00117389,0.00111967,0.00107954,0.00108920,0.00111348,0.00115920,0.00120785,0.00125910,0.00130531,0.00135546,0.00138796,0.00133576,0.00123753,0.00113943,0.00105404,0.00100263,0.00099010,0.00101421,0.00106926,0.00113208,0.00119641,0.00125567,0.00131999,0.00138867,0.00146082,0.00149372,0.00143912,0.00136591,0.00129291,0.00120708,0.00113173,0.00105366,0.00097559,0.00090028,0.00082220,0.00073970,0.00067539,0.00064801,0.00066958,0.00071551,0.00076606,0.00082757,0.00089957,0.00096533,0.00103248,0.00110076,0.00116439,0.00122933,0.00129042,0.00136270,0.00142671,0.00149183,0.00152312,0.00146914,0.00139705,0.00129375,0.00120789,0.00112556,0.00104593,0.00096682,0.00089051,0.00081524,0.00073133,0.00066137,0.00059835,0.00057180,0.00060533,0.00068124,0.00077946,0.00088663,0.00097281,0.00106506,0.00115731,0.00124956,0.00134537,0.00139705,0.00136017,0.00131230,0.00126716,0.00121691,0.00116932,0.00112474,0.00106878,0.00101268,0.00096938,0.00093025,0.00089586,0.00087723,0.00089669,0.00096587,0.00104064,0.00111570,0.00119101,0.00126639,0.00134181,0.00142719
leaf_5.JPG,0.00076882,0.00073517,0.00070554,0.00069438,0.00071950,0.00075805,0.00080470,0.00085523,0.00090932,0.00095254,0.00100073,0.00104034,0.00106989,0.00107165,0.00105584,0.00104754,0.00105780,0.00108334,0.00112363,0.00115871,0.00116870,0.00116420,0.00114506,0.00110005,0.00105745,0.00103427,0.00102398,0.00102800,0.00102367,0.00099370,0.00095165,0.00090654,0.00086431,0.00082813,0.00081227,0.00082020,0.00084062,0.00085940,0.00086103,0.00083835,0.00080109,0.00076091,0.00071760,0.00067397,0.00062364,0.00057472,0.00053787,0.00051992,0.00052282,0.00055959,0.00060813,0.00065179,0.00069583,0.00071405,0.00070788,0.00068350,0.00064774,0.00061597,0.00058756,0.00056819,0.00055691,0.00056015,0.00057469,0.00059860,0.00062992,0.00066905,0.00071590,0.00077111,0.00082746,0.00088938,0.00093797,0.00097660,0.00101160,0.00104934,0.00108953,0.00113478,0.00118176,0.00122612,0.00127774,0.00132937,0.00137927,0.00142687,0.00147358,0.00152055,0.00155072,0.00155471,0.00153760,0.00149974,0.00145165,0.00140370,0.00135586,0.00130784,0.00126111,0.00121409,0.00117096,0.00111722,0.00106102,0.00100712,0.00095706,0.00090871,0.00086388,0.00082066,0.00078471,0.00074549,0.00071105,0.00068029,0.00065679,0.00064237,0.00063485,0.00062579,0.00060405,0.00057458,0.00052486,0.00047189,0.00043675,0.00042735,0.00045174,0.00049383,0.00054572,0.00059369,0.00065046,0.00070498,0.00074549,0.00078815,0.00081196,0.00082813,0.00080743,0.00077349
leaf_6.JPG,0.00164166,0.00163607,0.00156780,0.00149366,0.00141137,0.00132205,0.00123286,0.00114200,0.00105114,0.00095851,0.00086946,0.00078069,0.00070024,0.00066637,0.00068852,0.00074877,0.00083172,0.00091729,0.00100481,0.00110222,0.00117113,0.00116972,0.00110234,0.00099898,0.00089263,0.00078207,0.00067226,0.00056754,0.00046013,0.00035409,0.00026034,0.00022241,0.00024395,0.00031026,0.00039387,0.00049257,0.00057599,0.00064207,0.00068342,0.00072565,0.00078402,0.00084814,0.00091680,0.00098906,0.00106913,0.00115070,0.00123348,0.00132133,0.00141766,0.00151815,0.00157440,0.00153361,0.00147753,0.00141999,0.00138775,0.00136372,0.00131685,0.00126629,0.00121127,0.00116066,0.00111507,0.00106484,0.00102026,0.00099298,0.00098442,0.00098423,0.00098112,0.00096386,0.00095538,0.00096670,0.00098629,0.00103382,0.00107719,0.00113260,0.00117822,0.00123719,0.00129184,0.00134300,0.00138477,0.00140808,0.00145270,0.00150448,0.00153377,0.00145507,0.00135886,0.00126950,0.00118409,0.00110355,0.00102474,0.00095325,0.00088576,0.00080751,0.00075105,0.00070241,0.00066331,0.00061558,0.00056754,0.00048685,0.00038933,0.00030090,0.00022694,0.00020329,0.00024911,0.00034129,0.00044310,0.00054920,0.00065753,0.00076714,0.00088253,0.00100006,0.00106651,0.00106023,0.00099828,0.00091701,0.00083819,0.00078037,0.00073876,0.00076854,0.00084160,0.00092783,0.00102076,0.00111370,0.00120664,0.00129959,0.00138669,0.00146413,0.00154064,0.00163148
leaf_9.JPG,0.00073044,0.00074265,0.00075408,0.00075922,0.00075106,0.00074571,0.00075497,0.00077602,0.00080340,0.00082929,0.00085615,0.00088777,0.00091992,0.00095543,0.00099262,0.00103057,0.00106920,0.00110843,0.00114821,0.00118847,0.00122941,0.00122646,0.00118252,0.00114268,0.00110386,0.00106605,0.00102966,0.00099434,0.00096021,0.00092740,0.00089605,0.00086790,0.00084146,0.00082059,0.00080054,0.00078082,0.00076649,0.00075541,0.00075734,0.00075678,0.00074560,0.00073317,0.00071918,0.00070933,0.00070431,0.00071037,0.00072808,0.00075777,0.00077266,0.00078102,0.00078258,0.00078176,0.00078305,0.00079144,0.00081049,0.00084015,0.00087568,0.00091244,0.00092883,0.00093825,0.00094520,0.00094580,0.00094452,0.00094554,0.00094399,0.00093932,0.00092841,0.00092344,0.00091494,0.00090200,0.00088749,0.00087484,0.00085644,0.00084357,0.00083260,0.00082178,0.00081501,0.00081032,0.00080776,0.00080292,0.00080461,0.00080395,0.00080537,0.00080886,0.00080086,0.00079094,0.00078300,0.00078176,0.00078710,0.00079451,0.00080394,0.00081531,0.00082855,0.00084752,0.00086028,0.00087857,0.00089743,0.00091535,0.00092803,0.00094265,0.00095911,0.00096854,0.00096432,0.00096257,0.00095945,0.00095462,0.00095392,0.00094935,0.00095093,0.00095029,0.00093852,0.00091958,0.00088444,0.00085065,0.00082288,0.00080588,0.00079536,0.00078710,0.00078102,0.00077713,0.00076661,0.00074985,0.00072315,0.00070431,0.00070129,0.00070522,0.00071192,0.00072765
